[2024-06-12 17:31:06.557]	     | Already up to date.
[2024-06-12 17:31:06.564]	   "tmux-fzf-url" update success
[2024-06-12 17:31:06.566]	     | Already up to date.
[2024-06-12 17:31:06.574]	   "tmux-sessionx" update success
[2024-06-12 17:31:06.576]	     | Already up to date.
[2024-06-12 17:31:06.588]	 Invoking /Users/alias/.config/tmux/plugins/tpm/bin/clean_plugins all
[2024-06-12 17:31:06.649]	 Done.

[2024-06-12 17:31:31.644]	 List of discovered tpm plugins: tmux-plugins/tmux-copycat tmux-plugins/tmux-open tmux-plugins/tmux-yank tmux-plugins/tmux-resurrect tmux-plugins/tmux-continuum wfxr/tmux-fzf-url omerxx/tmux-sessionx
[2024-06-12 17:31:31.656]	 Invoking /Users/alias/.config/tmux/plugins/tpm/bin/install_plugins
[2024-06-12 17:31:31.710]	 Already installed "tmux-copycat"
[2024-06-12 17:31:31.712]	 Already installed "tmux-yank"
[2024-06-12 17:31:31.712]	 Already installed "tmux-continuum"
[2024-06-12 17:31:31.713]	 Already installed "tmux-open"
[2024-06-12 17:31:31.713]	 Already installed "tmux-resurrect"
[2024-06-12 17:31:31.717]	 Already installed "tmux-fzf-url"
[2024-06-12 17:31:31.717]	 Already installed "tmux-sessionx"
[2024-06-12 17:31:31.729]	 Invoking /Users/alias/.config/tmux/plugins/tpm/bin/update_plugins all
[2024-06-12 17:31:31.748]	 Updating all plugins!
[2024-06-12 17:31:31.748]	 
[2024-06-12 17:31:33.035]	   "tmux-yank" update success
[2024-06-12 17:31:33.037]	   "tmux-copycat" update success
[2024-06-12 17:31:33.040]	     | Already up to date.
[2024-06-12 17:31:33.041]	     | Already up to date.
[2024-06-12 17:31:33.064]	   "tmux-resurrect" update success
[2024-06-12 17:31:33.066]	   "tmux-fzf-url" update success
[2024-06-12 17:31:33.069]	     | Already up to date.
[2024-06-12 17:31:33.069]	   "tmux-continuum" update success
[2024-06-12 17:31:33.069]	     | Already up to date.
[2024-06-12 17:31:33.071]	     | Already up to date.
[2024-06-12 17:31:33.074]	   "tmux-open" update success
[2024-06-12 17:31:33.076]	     | Already up to date.
[2024-06-12 17:31:33.084]	   "tmux-sessionx" update success
[2024-06-12 17:31:33.086]	     | Already up to date.
[2024-06-12 17:31:33.099]	 Invoking /Users/alias/.config/tmux/plugins/tpm/bin/clean_plugins all
[2024-06-12 17:31:33.159]	 Done.

[2024-06-12 17:31:46.003]	 List of discovered tpm plugins: tmux-plugins/tmux-copycat tmux-plugins/tmux-open tmux-plugins/tmux-yank tmux-plugins/tmux-resurrect tmux-plugins/tmux-continuum wfxr/tmux-fzf-url omerxx/tmux-sessionx
[2024-06-12 17:31:46.015]	 Invoking /Users/alias/.config/tmux/plugins/tpm/bin/install_plugins
[2024-06-12 17:31:46.070]	 Already installed "tmux-yank"
[2024-06-12 17:31:46.071]	 Already installed "tmux-copycat"
[2024-06-12 17:31:46.073]	 Already installed "tmux-continuum"
[2024-06-12 17:31:46.073]	 Already installed "tmux-resurrect"
[2024-06-12 17:31:46.074]	 Already installed "tmux-open"
[2024-06-12 17:31:46.075]	 Already installed "tmux-fzf-url"
[2024-06-12 17:31:46.075]	 Already installed "tmux-sessionx"
[2024-06-12 17:31:46.087]	 Invoking /Users/alias/.config/tmux/plugins/tpm/bin/update_plugins all
[2024-06-12 17:31:46.106]	 Updating all plugins!
[2024-06-12 17:31:46.106]	 
[2024-06-12 17:31:47.354]	   "tmux-open" update success
[2024-06-12 17:31:47.357]	     | Already up to date.
[2024-06-12 17:31:47.359]	   "tmux-copycat" update success
[2024-06-12 17:31:47.359]	   "tmux-yank" update success
[2024-06-12 17:31:47.361]	     | Already up to date.
[2024-06-12 17:31:47.361]	     | Already up to date.
[2024-06-12 17:31:47.374]	   "tmux-resurrect" update success
[2024-06-12 17:31:47.376]	     | Already up to date.
[2024-06-12 17:31:47.431]	   "tmux-continuum" update success
[2024-06-12 17:31:47.433]	     | Already up to date.
[2024-06-12 17:31:47.441]	   "tmux-fzf-url" update success
[2024-06-12 17:31:47.444]	     | Already up to date.
[2024-06-12 17:31:47.494]	   "tmux-sessionx" update success
[2024-06-12 17:31:47.496]	     | Already up to date.
[2024-06-12 17:31:47.509]	 Invoking /Users/alias/.config/tmux/plugins/tpm/bin/clean_plugins all
